"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Catch"
1875,0.24,0,0,0,0,0,0,0.24
1876,0.481,0,0,0,0,0,0,0.481
1877,0.721,0,0,0,0,0,0,0.721
1878,0.961,0,0,0,0,0,0,0.961
1879,1.201,0,0,0,0,0,0,1.201
1880,1.442,0,0,0,0,0,0,1.442
1881,1.682,0,0,0,0,0,0,1.682
1882,1.922,0,0,0,0,0,0,1.922
1883,2.163,0,0,0,0,0,0,2.163
1884,2.403,0,0,0,0,0,0,2.403
1885,2.643,0,0,0,0,0,0,2.643
1886,2.884,0,0,0,0,0,0,2.884
1887,3.124,0,0,0,0,0,0,3.124
1888,3.364,0,0,0,0,0,0,3.364
1889,3.604,0,0,0,0,0,0,3.604
1890,3.845,0,0,0,0,0,0,3.845
1891,4.085,0,0,0,0,0,0,4.085
1892,4.325,0,0,0,0,0,0,4.325
1893,4.082,0,0,0,0,0,0,4.082
1894,3.839,0,0,0,0,0,0,3.839
1895,3.596,0,0,0,0,0,0,3.596
1896,3.396,0,0,0,0,0,0,3.396
1897,3.195,0,0,0,0,0,0,3.195
1898,2.995,0,0,0,0,0,0,2.995
1899,2.794,0,0,0,0,0,0,2.794
1900,3.091,0,0,0,0,0,0,3.091
1901,3.389,0,0,0,0,0,0,3.389
1902,3.686,0,0,0,0,0,0,3.686
1903,3.983,0,0,0,0,0,0,3.983
1904,4.281,0,0,0,0,0,0,4.281
1905,4.574,0,0,0,0,0,0,4.574
1906,4.867,0,0,0,0,0,0,4.867
1907,5.161,0,0,0,0,0,0,5.161
1908,5.454,0,0,0,0,0,0,5.454
1909,6.137,0,0,0,0,0,0,6.137
1910,6.82,0,0,0,0,0,0,6.82
1911,7.504,0,0,0,0,0,0,7.504
1912,8.187,0,0,0,0,0,0,8.187
1913,8.87,0,0,0,0,0,0,8.87
1914,9.553,0,0,0,0,0,0,9.553
1915,10.236,0,0,0,0,0,0,10.236
1916,11.401,0.078,0,0,0,0,0,11.479
1917,18.423,0.121,0,0,0,0,0,18.544
1918,17.339,0.141,0,0,0,0,0,17.48
1919,10.214,0.098,0,0,0,0,0,10.312
1920,11.101,0.1,0,0,0,0,0,11.201
1921,9.792,0.083,0,0,0,0,0,9.875
1922,9.512,0.072,0,0,0,0,0,9.584
1923,12.425,0.077,0,0,0,0,0,12.502
1924,16.444,0.044,0,0,0,0,0,16.488
1925,18.531,0.038,0,0,0,0,0,18.569
1926,22.856,0.108,0,0,0,0,0,22.964
1927,19.433,0.199,0,0,0,0,0,19.632
1928,16.629,0.237,0,1.30957,0,0.174586,0,18.350156
1929,16.687,0.415,0,2.61836,0,0.349047,0,20.069407
1930,17.743,0.351,0,3.00829,0,0.401664,0,21.503954
1931,6.901,0.372,0,4.0108,0,0.535439,0,11.819239
1932,29.852,0.4,0,5.01234,0,0.667704,0,35.932044
1933,4.689,0.662,0,6.0115,0,0.801161,0,12.163661
1934,15.902,0.538,0,7.01292,0,0.93476,0,24.38768
1935,22.085,0.516,0,8.01189,0,1.06797,0,31.68086
1936,22.88,0.361,0,9.00863,0,1.20083,0,33.45046
1937,23.651,0.642,0,10.671,0,1.42237,0,36.38637
1938,15.579,0.683,0,10.4893,0,1.3971,0,28.1484
1939,15.41,0.964,0,9.16779,0,1.22121,0,26.763
1940,19.535,0.711,0,13.1965,0,1.75871,0,35.20121
1941,22.414,0.575,0,12.1886,0,1.62431,0,36.80191
1942,8.129,0.205,0,6.47077,0,0.861344,0,15.666114
1943,8.953,2.123,0,6.18632,0,0.823413,0,18.085733
1944,11.685,6.952,0,5.07801,0,0.676699,0,24.391709
1945,25.632,13.081,0,6.76494,0,0.901514,0,46.379454
1946,26.46,9.621,0,11.6338,0,1.54912,0,49.26392
1947,8.08,6.436,0,9.19733,0,1.22393,0,24.93726
1948,15.948,4.601,0,18.3514,0,2.44311,0,41.34351
1949,11.403,3.289,0,23.7799,0,3.16525,0,41.63715
1950,20.761,3.513,0,28.9719,0,3.8571,0,57.103
1951,50.232,8.231,0,33.0522,0,5.74098,0,97.25618
1952,25.828,6.312,0,28.7088,0,4.98505,0,65.83385
1953,12.207,6.873,0,24.4133,0,4.238,0,47.7313
1954,15.97,11.603,0,30.3105,0,5.26037,0,63.14387
1955,12.291,33.959,0,36.0738,0,6.25963,0,88.58343
1956,18.96,13.532,0,40.2092,0,6.97489,0,79.67609
1957,22.741,16.798,0,44.7531,0,6.79102,0,91.08312
1958,29.22,17.213,0,63.8784,0,11.124,0,121.4354
1959,13.554,11.745,0,57.2177,0,9.27754,0,91.79424
1960,14.338,12.582,0,37.6987,0,7.1651,0,71.7838
1961,13.131,9.555,0,28.6253,0,5.39941,0,56.71071
1962,15.768,8.377,0,36.1536,0,9.04212,0,69.34072
1963,22.174,10.624,0,34.0045,0,12.0774,0,78.8799
1964,18.474,6.04,0,26.5887,0,13.3952,0,64.4979
1965,18.676,6.526,0,41.3358,0,18.9216,0,85.4594
1966,23.12,6.256,0,39.9078,0,22.3163,0,91.6001
1967,33.441,8.818,0,31.0823,0,25.0231,0,98.3644
1968,15.824,9.849,0,39.7747,0,28.2381,0,93.6858
1969,18.957,14.557,0,37.8653,0,31.477,0,102.8563
1970,38.364,17.34,0,38.6769,0,36.3405,0,130.7214
1971,44.496,14.437,0,35.2098,0,36.5341,0,130.6769
1972,50.334,21.573,0,50.3311,0,42.2877,0,164.5258
1973,64.8,24.939,0,67.2322,0,48.2899,0,205.2611
1974,86.226,26.708,0,60.7339,0,52.3812,0,226.0491
1975,69.642,34.322,0,59.9061,0,55.271,0,219.1411
1976,93.143,41.767,0,63.4529,0,61.1569,0,259.5198
1977,80.74,36.816,0,50.0421,0,63.2915,0,230.8896
1978,147.227,24.299,0,39.6397,0,65.6714,0,276.8371
1979,207.084,24.304,0,55.535,0,71.3102,0,358.2332
1980,156.72,51.306,0,54.3932,0.442186,74.8448,0.166467,337.872653
1981,143.396,17.77,0.011,14.593,0.156996,23.2963,0.191158,199.414454
1982,212.016,14.963,0.002,50.3812,0.559429,37.7475,0.322,315.991129
1983,42.209,26.913,3.068,23.1714,0.26136,36.8259,0.321345,132.770005
1984,0.569,41.934,5.704,16.8488,0.190787,65.5666,0.577429,131.390616
1985,0.823,42.702,12.506,22.246,0.262606,47.8971,0.443033,126.879739
1986,30.693,4.154,31.418,11.417,0.125978,58.5476,0.511989,136.867567
