"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Landings"
2011,10.047,0,0,39.9173,0.297344,49.1641,0.147007,99.572751
2012,9.4,0.006,0,35.7086,0.245838,40.8806,0.229987,86.471025
2013,13.845,0.005,0,20.9746,0.121027,40.3983,0.123134,75.467061
2014,14.139,0.015,0.023,21.006,0.0419229,41.5369,0.214244,76.9760669
2015,18.172,0.41,0.01,39.7809,0.101649,64.3861,0.210194,123.070843
2016,13.271,0.094,0,37.1048,0.179194,59.6685,0.244169,110.561663
2017,14.226,0.062,0.002,92.562,0.375079,59.2283,0.272473,166.727852
2018,19.041,0.619,0,87.3053,0.147697,72.522,0.251527,179.886524
2019,19.593,0.039,0,90.4173,0.31843,91.2733,0.647399,202.288429
2020,19.93,0.017,0,54.2103,0.166168,63.1153,0.276008,137.714776
