"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,431.973,244.002458066288,619.943541933712,0.377209,0.227325850188659,0.527092149811341
2012,435.431,244.955428097647,625.906571902353,0.380229,0.229030126365837,0.531427873634162
2013,442.395,249.226241586491,635.563758413509,0.38631,0.233561382843262,0.539058617156738
2014,454.034,257.314374835699,650.753625164301,0.396473,0.241364390209477,0.551581609790523
2015,469.146,267.896898067427,670.395101932573,0.409669,0.251306262005945,0.568031737994055
2016,479.639,273.578186485381,685.699813514619,0.418832,0.256825492962287,0.580838507037713
2017,490.602,279.901951733975,701.302048266025,0.428405,0.262969927964131,0.593840072035869
2018,490.707,275.943946394024,705.470053605976,0.428496,0.259818951537303,0.597173048462697
2019,487.751,269.375732770516,706.126267229484,0.425915,0.254256454324021,0.597573545675979
2020,482.178,260.37671572554,703.97928427446,0.421049,0.246413073035106,0.595684926964894
2021,489.439,263.227796760325,715.650203239675,0.427389,0.24916222301903,0.60561577698097
