"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","1145.18","914.83523271693","1375.52476728307"
"Unfished Age 4+ Biomass (mt)","6341.79","5666.59612707384","7016.98387292616"
"Unfished Recruitment (R0)","420.186","299.040234122782","541.331765877218"
"Spawning Output (2021)","489.439","263.227796760325","715.650203239675"
"Fraction Unfished (2021)","0.427389","0.24916222301903","0.60561577698097"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","458.073","365.935289083171","550.210710916829"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0712816","0.059507449556753","0.083055750443247"
"Yield with SPR Based On SB40\% (mt)","145.614","123.238463163295","167.989536836705"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","510.928","408.159052438228","613.696947561772"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0624073","0.051986622285917","0.072827977714083"
"Yield with SPR50 at SB SPR (mt)","138.992","117.749714339156","160.234285660844"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","308.931","249.480392438939","368.381607561061"
"SPR MSY","0.340761","0.332201366888157","0.349320633111843"
"Exploitation Rate Corresponding to SPR MSY","0.103557","0.0866128369586934","0.120501163041307"
"MSY (mt)","155.029","130.706434941053","179.351565058947"
