Year,Predicted OFL (mt),ABC Catch (mt),Age 4+ Biomass (mt),Spawning Output,Fraction Unfished
2021,,,3459.01,489.439,0.4273
2022,,,3459.01,490.953,0.4287
2023,154.226,134.794,3436.65,497.064,0.434
2024,157.8,136.497,3489.4,516.147,0.4507
2025,159.485,136.679,3524.92,533.183,0.4655
2026,159.856,135.718,3547.19,547.117,0.4777
2027,159.445,134.093,3560.05,557.979,0.4872
2028,158.663,132.167,3567.12,566.209,0.4944
2029,157.79,130.334,3570.85,572.335,0.4997
2030,156.983,128.412,3572.83,576.84,0.5037
2031,156.332,126.629,3574.39,580.187,0.5066
2032,155.866,125.16,3576.26,582.729,0.5088
