"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Catch"
1875,0.222,0,0,0,0,0,0,0.222
1876,0.443,0,0,0,0,0,0,0.443
1877,0.665,0,0,0,0,0,0,0.665
1878,0.886,0,0,0,0,0,0,0.886
1879,1.108,0,0,0,0,0,0,1.108
1880,1.329,0,0,0,0,0,0,1.329
1881,1.551,0,0,0,0,0,0,1.551
1882,1.772,0,0,0,0,0,0,1.772
1883,1.994,0,0,0,0,0,0,1.994
1884,2.215,0,0,0,0,0,0,2.215
1885,2.437,0,0,0,0,0,0,2.437
1886,2.658,0,0,0,0,0,0,2.658
1887,2.88,0,0,0,0,0,0,2.88
1888,3.101,0,0,0,0,0,0,3.101
1889,3.323,0,0,0,0,0,0,3.323
1890,3.544,0,0,0,0,0,0,3.544
1891,3.766,0,0,0,0,0,0,3.766
1892,3.988,0,0,0,0,0,0,3.988
1893,3.763,0,0,0,0,0,0,3.763
1894,3.539,0,0,0,0,0,0,3.539
1895,3.315,0,0,0,0,0,0,3.315
1896,3.131,0,0,0,0,0,0,3.131
1897,2.946,0,0,0,0,0,0,2.946
1898,2.761,0,0,0,0,0,0,2.761
1899,2.576,0,0,0,0,0,0,2.576
1900,2.85,0,0,0,0,0,0,2.85
1901,3.124,0,0,0,0,0,0,3.124
1902,3.398,0,0,0,0,0,0,3.398
1903,3.672,0,0,0,0,0,0,3.672
1904,3.946,0,0,0,0,0,0,3.946
1905,4.217,0,0,0,0,0,0,4.217
1906,4.487,0,0,0,0,0,0,4.487
1907,4.758,0,0,0,0,0,0,4.758
1908,5.028,0,0,0,0,0,0,5.028
1909,5.658,0,0,0,0,0,0,5.658
1910,6.288,0,0,0,0,0,0,6.288
1911,6.918,0,0,0,0,0,0,6.918
1912,7.547,0,0,0,0,0,0,7.547
1913,8.177,0,0,0,0,0,0,8.177
1914,8.807,0,0,0,0,0,0,8.807
1915,9.437,0,0,0,0,0,0,9.437
1916,10.719,0,0,0,0,0,0,10.719
1917,17.3,0,0,0,0,0,0,17.3
1918,15.775,0,0,0,0,0,0,15.775
1919,9.432,0,0,0,0,0,0,9.432
1920,10.247,0,0,0,0,0,0,10.247
1921,8.953,0,0,0,0,0,0,8.953
1922,8.808,0,0,0,0,0,0,8.808
1923,11.798,0,0,0,0,0,0,11.798
1924,15.818,0,0,0,0,0,0,15.818
1925,17.356,0,0,0,0,0,0,17.356
1926,21.537,0,0,0,0,0,0,21.537
1927,17.872,0,0,0,0,0,0,17.872
1928,15.233,0,0,0.10997,0,0.00875114,0,15.35172114
1929,15.413,0,0,0.219885,0,0.018472,0,15.651357
1930,15.701,0,0,0.329755,0,0.0272186,0,16.0579736
1931,11.825,0,0,0.43963,0,0.0359665,0,12.3005965
