"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,417.626,216.763010972382,618.488989027618,0.427093,0.232214956995573,0.621971043004427
2012,417.703,217.755314153162,617.650685846838,0.427172,0.234346235283785,0.619997764716215
2013,416.626,217.570097766128,615.681902233872,0.42607,0.235231246771312,0.616908753228688
2014,418.821,219.116349687245,618.525650312755,0.428314,0.237849599892359,0.618778400107641
2015,428.176,225.337367275965,631.014632724035,0.437882,0.245263991466146,0.630500008533854
2016,436.847,228.489108695501,645.204891304499,0.44675,0.249656021714652,0.643843978285348
2017,448.412,232.929639611697,663.894360388303,0.458577,0.255428692966408,0.661725307033592
2018,458.305,235.070982052842,681.539017947159,0.468694,0.258901415058817,0.678486584941183
2019,466.811,236.252596642615,697.369403357385,0.477393,0.261355969804073,0.693430030195927
2020,464.518,227.773950307407,701.262049692593,0.475048,0.253795505641212,0.696300494358788
2021,471.178,228.524658894019,713.831341105981,0.481859,0.255626237156495,0.708091762843505
