"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","977.834","777.543320455867","1178.12467954413"
"Unfished Age 4+ Biomass (mt)","6010.98","4804.77112477842","7217.18887522158"
"Unfished Recruitment (R0)","809.343","474.410634573904","1144.2753654261"
"Spawning Output (2021)","471.178","228.524658894019","713.831341105981"
"Fraction Unfished (2021)","0.481859","0.255626237156495","0.708091762843505"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","391.134","311.017924178745","471.250075821255"
"SPR Resulting in SB40\%","0.455563","0.380011092309544","0.531114907690456"
"Exploitation Rate Resulting in SB40\%","0.138994","0.105830821392387","0.172157178607613"
"Yield with SPR Based On SB40\% (mt)","155.763","124.737554110325","186.788445889675"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","439.02","356.091179864532","521.948820135468"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.121469","0.107019263522178","0.135918736477822"
"Yield with SPR50 at SB SPR (mt)","148.285","120.93664254172","175.63335745828"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","268.898","136.620422676189","401.175577323811"
"SPR MSY","0.342133","0.163211023793714","0.521054976206286"
"Exploitation Rate Corresponding to SPR MSY","0.194725","0.0917533921622269","0.297696607837773"
"MSY (mt)","165.171","124.401593161184","205.940406838816"
