"Year","OFL","ABC","ACL","Landings","Total Mortality"
2011,"fill in","fill in","fill in","106.22","106.22"
2012,"fill in","fill in","fill in","145.27","145.27"
2013,"fill in","fill in","fill in","150.03","150.03"
2014,"fill in","fill in","fill in","116.07","116.07"
2015,"fill in","fill in","fill in","196.16","196.16"
2016,"fill in","fill in","fill in","172.13","172.13"
2017,"fill in","fill in","fill in","150.10","150.10"
2018,"fill in","fill in","fill in","142.11","142.11"
2019,"fill in","fill in","fill in","259.97","259.97"
2020,"fill in","fill in","fill in","109.68","109.68"
