Year,Predicted OFL (mt),ABC Catch (mt),Age 4+ Biomass (mt),Spawning Output,Fraction Unfished
2021,,,3450.76,471.178,0.481859
2022,,,3409.59,474.022,0.484767
2023,159.364,139.284,3351.2,476.977,0.48779
2024,158.813,137.373,3349.83,481.689,0.492608
2025,158.799,136.091,3349.31,485.152,0.49615
2026,159.011,135,3351.63,487.245,0.49829
2027,159.283,133.957,3354.79,488.421,0.499493
2028,159.578,132.928,3359.23,489.173,0.500261
2029,159.9,132.078,3365.1,489.835,0.500939
2030,160.252,131.086,3372.21,490.576,0.501696
2031,160.64,130.119,3380.61,491.499,0.50264
2032,161.063,129.334,3390.13,492.633,0.5038
