"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","106.223882","145.266613","150.032535","116.068565","196.156691","172.129102","150.101984","142.112306","259.97142","109.680482","NA"
"Total Dead","106.223882","145.266613","150.032535","116.068565","196.156691","172.129102","150.101984","142.112306","259.97142","109.680482","NA"
"(1-SPR)/(1-SPR_50%)","0.934708","1.06296","0.999644","0.795201","1.13433","1.06109","0.991648","0.954491","1.37077","0.745868",NA
"Fill in F method","0.118925","0.149817","0.129501","0.0929529","0.154398","0.139512","0.123585","0.116049","0.223679","0.0800363",NA
"Age 4+ Biomass (mt)","2728.89","2792.57","2917.82","3082.18","3189.4","3249.51","3289","3242.81","3233.16","3321.64","6006.08"
"Spawning Output","417.626","417.703","416.626","418.821","428.176","436.847","448.412","458.305","466.811","464.518","471.178"
"Lower Interval","216.763010972382","217.755314153162","217.570097766128","219.116349687245","225.337367275965","228.489108695501","232.929639611697","235.070982052842","236.252596642615","227.773950307407","228.524658894019"
"Upper Interval","618.488989027618","617.650685846838","615.681902233872","618.525650312755","631.014632724035","645.204891304499","663.894360388303","681.539017947159","697.369403357385","701.262049692593","713.831341105981"
"Recruits","845.517","1025.46","892.128","470.136","683.215","1628.8","1008.84","688.065","743.171","747.805","736.076"
"Lower Interval","516.628660799249","643.903960417073","550.3726470937","262.625454472488","395.852431245469","982.484218821171","504.296095321259","271.307776727964","274.414745479465","275.049429611907","272.811616150688"
"Upper Interval","1383.77726892468","1633.11343964847","1446.09724445209","841.608666379878","1179.18370428183","2700.28707757075","2018.17574048763","1745.00506374981","2012.65837328093","2033.13389456595","1986.01469182578"
"Fraction Unfished","0.427093","0.427172","0.42607","0.428314","0.437882","0.44675","0.458577","0.468694","0.477393","0.475048","0.481859"
"Lower Interval","0.232214956995573","0.234346235283785","0.235231246771312","0.237849599892359","0.245263991466146","0.249656021714652","0.255428692966408","0.258901415058817","0.261355969804073","0.253795505641212","0.255626237156495"
"Upper Interval","0.621971043004427","0.619997764716215","0.616908753228688","0.618778400107641","0.630500008533854","0.643843978285348","0.661725307033592","0.678486584941183","0.693430030195927","0.696300494358788","0.708091762843505"
