"Label","base","retro-1","retro-2","retro-3","retro-4","retro-5"
"N.Parms",112,112,112,112,112,112
"TOTAL",1036.43,1031.22,927.277,811.764,702.429,587.668
"Survey",-42.8699,-41.9001,-38.577,-37.3508,-37.2402,-36.7001
"Length_comp",349.639,343.358,322.786,298.413,276.215,250.687
"Age_comp",729.229,729.126,643.12,551.846,464.422,375.618
"Recruitment",0.298951,0.499635,-0.197715,-1.26976,-1.05611,-1.96977
"Parm_priors",0.128248,0.135599,0.142669,0.121569,0.0860807,0.0314229
"NatM_uniform_Fem_GP_1",0.124834,0.125619,0.126358,0.124105,0.119928,0.111604
"L_at_Amin_Fem_GP_1",7.74452,7.76086,8.6463,8.8089,8.80767,8.88469
"L_at_Amax_Fem_GP_1",55.2221,55.2232,55.5791,55.634,55.7629,55.7794
"VonBert_K_Fem_GP_1",0.161345,0.161106,0.155354,0.153627,0.150483,0.148797
"CV_young_Fem_GP_1",0.0891374,0.0892264,0.0910835,0.0916966,0.0938211,0.0930789
"CV_old_Fem_GP_1",0.0769337,0.0769667,0.0767862,0.0769387,0.0778134,0.0791484
"L_at_Amax_Mal_GP_1",-0.0607924,-0.0608506,-0.0640357,-0.0671305,-0.0695185,-0.0660131
"VonBert_K_Mal_GP_1",0.13279,0.13269,0.142071,0.151087,0.160233,0.159282
"CV_old_Mal_GP_1",-0.289446,-0.287793,-0.307051,-0.29616,-0.287667,-0.310181
"SR_LN(R0)",6.66632,6.67547,6.66658,6.62704,6.55435,6.46056
"Q_extraSD_REC_PR(6)",0.129386,0.13526,0.13567,0.11999,0.0973007,0.0667057
"Size_DblN_peak_COM_HKL(1)",34.5891,32.3727,31.3645,30.9782,30.5186,30.354
"Size_DblN_ascend_se_COM_HKL(1)",3.77218,3.33539,3.1526,3.08219,2.98121,2.81709
"Size_DblN_peak_COM_NET(3)",57.5193,57.6888,56.6623,56.4798,55.1879,52.538
"Size_DblN_ascend_se_COM_NET(3)",5.11621,5.12449,5.03581,5.01901,4.90648,4.67579
"Size_DblN_peak_REC_PC(4)",28.0419,28.0896,28.578,28.7517,28.8168,28.925
"Size_DblN_ascend_se_REC_PC(4)",3.75361,3.76022,3.84701,3.83906,3.82222,3.87033
"Size_DblN_descend_se_REC_PC(4)",4.93047,4.9363,4.88904,4.87693,4.86923,4.8113
"Size_DblN_end_logit_REC_PC(4)",-4.65573,-4.65275,-4.56962,-4.62733,-4.59841,-4.65631
"Size_DblN_peak_REC_PC_DIS(5)",16.8798,16.8835,16.4185,16.4103,16.5539,16.9889
"Size_DblN_ascend_se_REC_PC_DIS(5)",3.11397,3.11438,3.10398,3.01223,3.00076,3.07949
"Size_DblN_descend_se_REC_PC_DIS(5)",4.07002,4.0726,4.16273,4.18907,4.18803,3.69526
"Size_DblN_peak_REC_PR(6)",31.3129,31.3677,31.4894,31.673,31.7153,31.6812
"Size_DblN_ascend_se_REC_PR(6)",3.81338,3.8194,3.82429,3.83829,3.80801,3.7907
"Size_DblN_descend_se_REC_PR(6)",4.52469,4.52293,4.51732,4.46418,4.45335,4.41768
"Size_DblN_end_logit_REC_PR(6)",-3.14973,-3.12763,-3.24731,-3.23521,-3.31334,-3.38605
"Size_DblN_peak_NWFSC_HKL(8)",50.4225,50.5891,50.8452,49.7289,48.6945,49.5427
"Size_DblN_ascend_se_NWFSC_HKL(8)",5.52929,5.52586,5.56059,5.48998,5.44787,5.58904
"Size_DblN_end_logit_NWFSC_TWL(9)",-8.01365,-7.99814,-8.9018,-9.03054,-8.69125,-3.47031
"Size_DblN_peak_CDFW_RESEARCH(11)",42.3365,42.6279,43.5318,43.3109,42.848,37.464
"Size_DblN_ascend_se_CDFW_RESEARCH(11)",5.68134,5.70308,5.76115,5.75134,5.72297,5.17532
"Size_DblN_peak_EARLY_HKL(12)",46.1881,46.2357,46.2834,46.2094,46.0486,45.6782
"Size_DblN_ascend_se_EARLY_HKL(12)",5.04376,5.04329,5.03722,5.03714,5.02653,5.02043
"Size_DblN_descend_se_EARLY_HKL(12)",2.10409,2.06776,2.19435,2.32019,2.62585,2.88303
"Size_DblN_end_logit_EARLY_HKL(12)",0.0425157,0.0546104,-0.0248219,-0.062874,-0.196711,-0.362594
"Size_DblN_peak_COM_HKL(1)_BLK1repl_1875",50.6598,50.7075,50.6156,50.7683,51.0069,50.585
"Size_DblN_ascend_se_COM_HKL(1)_BLK1repl_1875",5.04452,5.04603,5.02751,5.0393,5.04853,5.03093
"Size_DblN_peak_REC_PC(4)_BLK1repl_1875",27.4788,27.4778,27.578,27.6914,27.7979,27.6658
"Size_DblN_ascend_se_REC_PC(4)_BLK1repl_1875",3.58741,3.58778,3.60285,3.61928,3.62947,3.60219
