"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","1114.67","885.848124732918","1343.49187526708"
"Unfished Age 4+ Biomass (mt)","6144.61","5491.39712316046","6797.82287683954"
"Unfished Recruitment (R0)","433.531","306.057882391492","561.004117608508"
"Spawning Output (2021)","436.09","221.701299515071","650.478700484929"
"Fraction Unfished (2021)","0.391228","0.210258253422666","0.572197746577334"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","445.868","354.339445889566","537.396554110434"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0737688","0.0608976773142458","0.0866399226857542"
"Yield with SPR Based On SB40\% (mt)","147.732","125.912896938506","169.551103061494"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","497.314","395.22437595527","599.40362404473"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0645044","0.0531518770091073","0.0758569229908928"
"Yield with SPR50 at SB SPR (mt)","140.884","120.182076409694","161.585923590306"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","297.232","238.299410920053","356.164589079947"
"SPR MSY","0.337953","0.329396894823329","0.346509105176671"
"Exploitation Rate Corresponding to SPR MSY","0.108684","0.0897413008829376","0.127626699117062"
"MSY (mt)","157.796","134.004781177262","181.587218822738"
