"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Landings"
2011,7.564,0,0,75.1428,1.58168,21.3026,0.418399,106.009479
2012,8.533,0,0,102.193,4.44574,29.0906,0.620742,144.883082
2013,10.999,0.073,0,111.229,1.31513,25.4804,0.508979,149.605509
2014,12.651,0.051,0.013,83.1428,1.21555,18.5675,0.291393,115.932243
2015,21.976,0.065,0.006,147.993,1.63335,23.8772,0.472667,196.023217
2016,16.099,0.171,0.056,129.566,0.838563,25.3179,0.338522,172.386985
2017,33.287,0.115,0.022,90.6718,1.18982,25.4287,0.250529,150.964849
2018,40.246,0.034,0.039,82.7767,1.92138,17.3568,0.357182,142.731062
2019,47.217,0.291,0.045,172.576,5.35582,33.7821,1.03142,260.29834
2020,48.764,0.075,0.096,38.9876,1.57579,19.9331,0.461492,109.892982
