"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","1053.33","871.496301298281","1235.16369870172"
"Unfished Age 4+ Biomass (mt)","6345.32","5358.76624848981","7331.87375151019"
"Unfished Recruitment (R0)","785.502","556.595846281583","1014.40815371842"
"Spawning Output (2021)","521.768","262.355006862217","781.180993137783"
"Fraction Unfished (2021)","0.495352","0.29547683282059","0.69522716717941"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","421.331","348.597520519312","494.064479480688"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.128253","0.114358011728362","0.142147988271638"
"Yield with SPR Based On SB40\% (mt)","147.185","120.434235560607","173.935764439393"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","469.946","388.82015073391","551.07184926609"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.11342","0.101057781962832","0.125782218037168"
"Yield with SPR50 at SB SPR (mt)","140.632","115.195979401436","166.068020598564"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","291.419","238.223225502801","344.614774497198"
"SPR MSY","0.34699","0.341995482577116","0.351984517422884"
"Exploitation Rate Corresponding to SPR MSY","0.176594","0.157888142930829","0.195299857069171"
"MSY (mt)","155.832","127.058160735764","184.605839264236"
